"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"75"	1	5	25	125	0	0	0	0	0	0	0	0	1	1	26	676	0	0	0	0
"76"	0	5	25	125	1	0	0	0	0	0	0	0	1	1	26	676	0	0	0	0
"77"	1	4	16	64	0	0	1	0	0	1	0	0	1	0	31	961	0	1	0	0
"78"	0	13	169	2197	1	0	0	1	0	0	1	0	0	0	21	441	0	0	0	0
"79"	0	7	49	343	0	0	0	0	0	0	1	1	0	1	21	441	0	1	0	0
"80"	0	5	25	125	0	0	0	0	0	0	1	1	0	1	21	441	0	1	0	0
"81"	1	2	4	8	0	0	1	0	0	0	0	0	1	0	28	784	0	1	0	0
"82"	0	7	49	343	0	0	1	0	0	0	0	0	0	0	48	2304	0	0	0	0
"83"	1	11	121	1331	0	0	0	0	0	1	0	0	0	0	48	2304	0	0	0	0
"84"	0	4	16	64	0	0	1	0	0	0	0	0	0	0	31	961	0	1	0	0
"85"	1	13	169	2197	0	0	1	0	0	0	0	0	0	0	31	961	0	1	0	0
"86"	1	11	121	1331	1	0	1	0	0	1	0	0	0	0	31	961	0	1	0	0
"87"	1	9	81	729	0	0	0	0	0	0	0	0	0	0	31	961	0	1	0	0
"88"	1	5	25	125	1	0	1	0	0	0	0	0	0	0	40	1600	0	0	0	0
"89"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	40	1600	0	0	0	0
"90"	1	4	16	64	0	0	1	0	0	1	0	0	0	0	23	529	0	0	0	0
"91"	0	12	144	1728	0	0	1	0	0	0	1	0	0	0	33	1089	0	1	0	0
"92"	1	10	100	1000	0	0	1	0	0	0	1	0	0	0	33	1089	0	1	0	0
"93"	1	13	169	2197	0	0	1	0	0	0	1	0	0	0	33	1089	0	1	0	0
"94"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	43	1849	0	0	0	0
"95"	1	1	1	1	1	0	0	0	0	0	0	0	0	0	43	1849	0	0	0	0
"96"	1	9	81	729	0	0	1	0	0	1	0	0	1	0	35	1225	0	0	0	0
"97"	0	3	9	27	1	0	0	0	0	0	0	0	0	1	44	1936	0	1	0	0
"98"	0	9	81	729	0	0	1	0	0	0	0	0	0	1	44	1936	0	1	0	0
"99"	0	15	225	3375	0	0	0	1	0	0	0	1	0	1	16	256	0	1	0	0
"100"	1	8	64	512	0	0	0	1	0	1	0	1	0	1	16	256	0	1	0	0
"101"	0	8	64	512	0	0	0	0	0	1	0	0	0	0	43	1849	0	0	0	0
